Date,Product_Name,Qty
01-01-2025,A-Line Dress,21
01-01-2025,Athleisure Set,17
01-01-2025,Blouse,13
01-01-2025,Bodycon Dress,29
01-01-2025,Boots,6
01-01-2025,Cardigan,30
01-01-2025,Casual Top,19
01-01-2025,Celana Anak,38
01-01-2025,Celana Chino,23
01-01-2025,Celana Formal,50
01-01-2025,Celana Jeans,49
01-01-2025,Chic Top,19
01-01-2025,Clutch,13
01-01-2025,Crop Shirt,21
01-01-2025,Culottes,10
01-01-2025,Dress Anak,37
01-01-2025,Flat Shoes,17
01-01-2025,Handbag,4
01-01-2025,Heels,34
01-01-2025,High-Waist Pants,25
01-01-2025,Jaket,36
01-01-2025,Jogger Pants,31
01-01-2025,Kaos,38
01-01-2025,Kaos Anak,32
01-01-2025,Kaos Kaki,23
01-01-2025,Kemeja,28
01-01-2025,Kemeja Wanita,18
01-01-2025,Koper Besar,1
01-01-2025,Koper Kecil,1
01-01-2025,Koper Sedang,1
01-01-2025,Loafers,7
01-01-2025,Maxi Dress,11
01-01-2025,Oversized Shirt,13
01-01-2025,Palazzo Pants,20
01-01-2025,Pleated Pants,22
01-01-2025,Polo Shirt,28
01-01-2025,Sandal Anak,17
01-01-2025,Sepatu Formal,21
01-01-2025,Sepatu Sekolah,8
01-01-2025,Setelan Anak,39
01-01-2025,Shoulder Bag,9
01-01-2025,Skirt,22
01-01-2025,Slip Dress,29
01-01-2025,Sneakers,32
01-01-2025,Sneakers Anak,4
01-01-2025,Totebag,4
01-01-2025,Tunic,19
01-01-2025,Vintage Top,26
01-01-2025,Wedges,20
02-01-2025,A-Line Dress,36
02-01-2025,Athleisure Set,23
02-01-2025,Blouse,22
02-01-2025,Bodycon Dress,30
02-01-2025,Boots,13
02-01-2025,Cardigan,21
02-01-2025,Casual Top,24
02-01-2025,Celana Anak,65
02-01-2025,Celana Chino,49
02-01-2025,Celana Formal,55
02-01-2025,Celana Jeans,60
02-01-2025,Chic Top,19
02-01-2025,Clutch,3
02-01-2025,Crop Shirt,19
02-01-2025,Culottes,20
02-01-2025,Dress Anak,43
02-01-2025,Flat Shoes,21
02-01-2025,Handbag,3
02-01-2025,Heels,38
02-01-2025,High-Waist Pants,25
02-01-2025,Jaket,57
02-01-2025,Jogger Pants,52
02-01-2025,Kaos,66
02-01-2025,Kaos Anak,33
02-01-2025,Kaos Kaki,23
02-01-2025,Kemeja,33
02-01-2025,Kemeja Wanita,17
02-01-2025,Koper Besar,1
02-01-2025,Koper Kecil,1
02-01-2025,Koper Sedang,1
02-01-2025,Loafers,18
02-01-2025,Maxi Dress,29
02-01-2025,Oversized Shirt,24
02-01-2025,Palazzo Pants,25
02-01-2025,Pleated Pants,34
02-01-2025,Polo Shirt,50
02-01-2025,Sandal Anak,13
02-01-2025,Sepatu Formal,22
02-01-2025,Sepatu Sekolah,11
02-01-2025,Setelan Anak,43
02-01-2025,Shoulder Bag,9
02-01-2025,Skirt,21
02-01-2025,Slip Dress,24
02-01-2025,Sneakers,29
02-01-2025,Sneakers Anak,10
02-01-2025,Totebag,11
02-01-2025,Tunic,18
02-01-2025,Vintage Top,31
02-01-2025,Wedges,14
03-01-2025,A-Line Dress,36
03-01-2025,Athleisure Set,24
03-01-2025,Blouse,41
03-01-2025,Bodycon Dress,20
03-01-2025,Boots,16
03-01-2025,Cardigan,33
03-01-2025,Casual Top,23
03-01-2025,Celana Anak,39
03-01-2025,Celana Chino,44
03-01-2025,Celana Formal,69
03-01-2025,Celana Jeans,58
03-01-2025,Chic Top,40
03-01-2025,Clutch,18
03-01-2025,Crop Shirt,31
03-01-2025,Culottes,17
03-01-2025,Dress Anak,31
03-01-2025,Flat Shoes,17
03-01-2025,Handbag,11
03-01-2025,Heels,40
03-01-2025,High-Waist Pants,36
03-01-2025,Jaket,69
03-01-2025,Jogger Pants,52
03-01-2025,Kaos,42
03-01-2025,Kaos Anak,51
03-01-2025,Kaos Kaki,35
03-01-2025,Kemeja,64
03-01-2025,Kemeja Wanita,23
03-01-2025,Koper Besar,1
03-01-2025,Koper Kecil,2
03-01-2025,Koper Sedang,4
03-01-2025,Loafers,27
03-01-2025,Maxi Dress,34
03-01-2025,Oversized Shirt,29
03-01-2025,Palazzo Pants,26
03-01-2025,Pleated Pants,25
03-01-2025,Polo Shirt,48
03-01-2025,Sandal Anak,30
03-01-2025,Sepatu Formal,7
03-01-2025,Sepatu Sekolah,13
03-01-2025,Setelan Anak,68
03-01-2025,Shoulder Bag,9
03-01-2025,Skirt,48
03-01-2025,Slip Dress,20
03-01-2025,Sneakers,40
03-01-2025,Sneakers Anak,18
03-01-2025,Totebag,6
03-01-2025,Tunic,19
03-01-2025,Vintage Top,25
03-01-2025,Wedges,27
04-01-2025,A-Line Dress,106
04-01-2025,Athleisure Set,133
04-01-2025,Blouse,86
04-01-2025,Bodycon Dress,146
04-01-2025,Boots,79
04-01-2025,Cardigan,123
04-01-2025,Casual Top,133
04-01-2025,Celana Anak,201
04-01-2025,Celana Chino,247
04-01-2025,Celana Formal,277
04-01-2025,Celana Jeans,301
04-01-2025,Chic Top,168
04-01-2025,Clutch,58
04-01-2025,Crop Shirt,117
04-01-2025,Culottes,113
04-01-2025,Dress Anak,182
04-01-2025,Flat Shoes,111
04-01-2025,Handbag,48
04-01-2025,Heels,163
04-01-2025,High-Waist Pants,156
04-01-2025,Jaket,216
04-01-2025,Jogger Pants,199
04-01-2025,Kaos,260
