No,Product_Name,MAE,RMSE,MAPE (%)
1,A-Line Dress,37.12,70.34,98.63
2,Athleisure Set,40.5,78.71,58.77
3,Blouse,36.91,66.56,106.9
4,Bodycon Dress,38.87,75.42,60.24
5,Boots,23.42,43.96,68.63
6,Cardigan,38.22,70.26,109.57
7,Casual Top,38.47,66.4,130.57
8,Celana Anak,60.71,121.15,47.67
9,Celana Chino,89.69,183.42,80.1
10,Celana Formal,81.79,131.28,125.51
11,Celana Jeans,123.37,172.92,193.32
12,Chic Top,39.95,71.39,121.23
13,Clutch,16.47,19.55,340.01
14,Crop Shirt,36.81,68.52,103.52
15,Culottes,48.58,94.05,104.96
16,Dress Anak,61.06,120.43,47.42
17,Flat Shoes,28.53,55.18,59.66
18,Handbag,27.45,45.49,75.98
19,Heels,33.85,62.04,68.74
20,High-Waist Pants,43.5,68.56,146.68
21,Jaket,71.0,133.81,84.46
22,Jogger Pants,93.71,187.86,81.87
23,Kaos,83.01,141.36,133.37
24,Kaos Anak,60.7,118.97,57.44
25,Kaos Kaki,29.91,56.51,63.73
26,Kemeja,68.87,139.09,79.15
27,Kemeja Wanita,40.6,67.63,157.81
28,Koper Besar,1.72,3.2,59.6
29,Koper Kecil,1.85,3.31,51.53
30,Koper Sedang,1.67,2.76,54.88
31,Loafers,25.36,49.5,66.3
32,Maxi Dress,34.09,67.51,83.92
33,Oversized Shirt,35.58,65.03,107.18
34,Palazzo Pants,54.84,88.18,181.24
35,Pleated Pants,35.8,65.27,108.16
36,Polo Shirt,73.19,143.17,91.4
37,Sandal Anak,19.43,36.86,62.51
38,Sepatu Formal,24.2,47.29,73.16
39,Sepatu Sekolah,19.13,35.79,62.59
40,Setelan Anak,66.98,132.45,49.31
41,Shoulder Bag,13.12,16.7,246.0
42,Skirt,46.02,71.9,148.04
43,Slip Dress,37.99,71.38,104.44
44,Sneakers,54.97,105.65,65.95
45,Sneakers Anak,19.56,36.97,73.66
46,Totebag,17.35,33.65,99.18
47,Tunic,41.77,72.7,139.88
48,Vintage Top,37.47,68.42,119.94
49,Wedges,27.11,52.89,63.73
50,Hoodie,40.77,41.55,188.39
