No,Product_Name,MAE,RMSE,MAPE (%)
1,A-Line Dress,104.56,107.61,565.05
2,Athleisure Set,49.89,84.17,100.0
3,Blouse,293.55,301.69,1589.91
4,Bodycon Dress,48.95,81.43,100.0
5,Boots,27.35,46.3,100.0
6,Cardigan,94.12,97.84,505.39
7,Casual Top,125.82,129.29,716.22
8,Celana Anak,82.82,135.66,99.42
9,Celana Chino,125.61,213.95,100.0
10,Celana Formal,223.83,230.98,516.2
11,Celana Jeans,579.7,605.33,1265.17
12,Chic Top,106.0,109.1,588.64
13,Clutch,103.84,105.85,2250.25
14,Crop Shirt,190.04,199.68,1160.72
15,Culottes,116.24,122.15,552.85
16,Dress Anak,82.84,135.14,98.5
17,Flat Shoes,34.95,59.11,100.0
18,Handbag,30.08,47.18,100.0
19,Heels,39.29,65.18,100.0
20,High-Waist Pants,112.41,115.86,561.49
21,Jaket,129.65,148.66,296.62
22,Jogger Pants,129.1,218.44,100.0
23,Kaos,436.17,457.2,1261.73
24,Kaos Anak,72.51,127.01,81.6
25,Kaos Kaki,37.89,63.92,77.82
26,Kemeja,294.98,306.29,836.53
27,Kemeja Wanita,139.46,143.9,881.68
28,Koper Besar,2.13,3.66,58.96
29,Koper Kecil,2.93,4.19,100.0
30,Koper Sedang,2.79,3.77,100.0
31,Loafers,29.55,51.94,100.0
32,Maxi Dress,111.46,114.65,666.28
33,Oversized Shirt,49.0,80.45,100.0
34,Palazzo Pants,221.36,232.63,1173.45
35,Pleated Pants,162.74,171.33,973.76
36,Polo Shirt,154.17,168.35,413.32
37,Sandal Anak,27.13,33.42,322.25
38,Sepatu Formal,28.25,49.67,100.0
39,Sepatu Sekolah,23.74,38.88,93.08
40,Setelan Anak,91.65,148.68,99.95
41,Shoulder Bag,68.8,70.64,1389.73
42,Skirt,177.48,185.59,877.82
43,Slip Dress,101.7,105.61,547.88
44,Sneakers,64.32,111.12,100.0
45,Sneakers Anak,24.77,40.65,99.4
46,Totebag,69.98,73.66,1264.31
47,Tunic,110.02,113.64,648.29
48,Vintage Top,122.59,125.61,716.2
49,Wedges,34.24,57.41,100.0
50,Hoodie,28.47,33.32,100.0
