No,Product_Name,MAE,RMSE,MAPE (%)
1,A-Line Dress,38.37,71.31,98.92
2,Athleisure Set,57.68,90.0,157.13
3,Blouse,47.54,67.87,206.08
4,Bodycon Dress,69.48,97.18,239.06
5,Boots,37.96,53.79,258.82
6,Cardigan,39.8,76.5,77.39
7,Casual Top,48.36,67.74,221.86
8,Celana Anak,95.39,145.65,149.86
9,Celana Chino,101.8,200.21,69.69
10,Celana Formal,77.92,143.18,79.18
11,Celana Jeans,150.8,186.9,280.46
12,Chic Top,50.21,87.19,122.42
13,Clutch,13.89,20.1,197.26
14,Crop Shirt,62.2,74.2,352.58
15,Culottes,54.42,92.32,158.37
16,Dress Anak,90.2,141.44,130.52
17,Flat Shoes,52.31,71.73,284.53
18,Handbag,37.23,52.29,203.97
19,Heels,60.64,81.76,242.21
20,High-Waist Pants,49.88,69.67,190.35
21,Jaket,75.15,147.72,67.06
22,Jogger Pants,108.01,205.48,75.91
23,Kaos,101.42,143.67,219.57
24,Kaos Anak,73.56,129.87,82.3
25,Kaos Kaki,33.21,60.29,64.43
26,Kemeja,73.3,141.34,87.62
27,Kemeja Wanita,49.85,68.76,249.14
28,Koper Besar,1.81,3.41,52.05
29,Koper Kecil,2.29,3.78,63.25
30,Koper Sedang,1.97,3.12,57.72
31,Loafers,42.1,60.56,293.78
32,Maxi Dress,49.11,82.19,133.44
33,Oversized Shirt,47.31,78.86,123.16
34,Palazzo Pants,70.11,91.26,316.7
35,Pleated Pants,42.45,65.17,170.51
36,Polo Shirt,77.38,142.22,107.84
37,Sandal Anak,25.43,40.96,135.04
38,Sepatu Formal,41.68,59.1,339.69
39,Sepatu Sekolah,26.48,41.03,135.91
40,Setelan Anak,108.39,161.98,165.47
41,Shoulder Bag,21.51,23.86,468.69
42,Skirt,58.82,76.04,241.61
43,Slip Dress,39.21,72.04,107.55
44,Sneakers,80.25,122.16,201.64
45,Sneakers Anak,28.96,43.84,192.75
46,Totebag,18.78,32.37,155.14
47,Tunic,46.89,72.56,192.39
48,Vintage Top,40.42,68.26,144.13
49,Wedges,39.15,60.91,175.81
50,Hoodie,38.1,45.32,146.98
