No,Product_Name,Prediksi_90_Hari
1,Celana Jeans,9711.91
2,Kaos,6997.11
3,Celana Formal,8418.88
4,Kemeja,6904.44
5,Polo Shirt,6409.85
6,Jaket,6203.32
7,Setelan Anak,5893.81
8,Palazzo Pants,3370.93
9,Jogger Pants,7170.92
10,Blouse,4594.72
11,Celana Chino,7477.31
12,Kaos Anak,4607.63
13,Skirt,3743.67
14,Celana Anak,4404.15
15,Dress Anak,4661.64
16,Culottes,3472.98
17,High-Waist Pants,3935.98
18,Kemeja Wanita,3288.88
19,Casual Top,2735.82
20,Crop Shirt,3166.83
21,Pleated Pants,2983.89
22,Slip Dress,2717.78
23,Tunic,3164.94
24,Chic Top,3616.82
25,A-Line Dress,2952.54
26,Cardigan,3572.72
27,Vintage Top,2619.73
28,Maxi Dress,2459.36
29,Sneakers,2952.58
30,Kaos Kaki,2804.01
31,Hoodie,9869.54
32,Athleisure Set,2918.64
33,Bodycon Dress,2811.01
34,Oversized Shirt,2803.71
35,Heels,2594.38
36,Flat Shoes,1656.76
37,Wedges,1511.28
38,Sandal Anak,1119.22
39,Totebag,1041.6
40,Loafers,891.05
41,Clutch,757.99
42,Sepatu Formal,1454.81
43,Boots,1328.87
44,Sneakers Anak,1241.91
45,Sepatu Sekolah,660.61
46,Shoulder Bag,652.65
47,Handbag,465.55
48,Sandal,1739.16
49,Casual,1120.41
50,Mules,641.27
